L0,L1,L2,Linf,angle,tolerance,ncp,tn,hostname
173208640.0,152745.53,385.64523,104.5,0.0015822122496098592,0.1,15,4000,node-k98s-030
173277490.0,17432.422,55.253025,17.48706,0.0006905339797221658,0.01,15,4000,node-k98s-020
173259710.0,2261.7114,7.140289,2.1601562,0.0005980199656453665,0.001,15,4000,node-k98s-014
173367280.0,146.22342,0.5918071,0.28125,0.0006905339797221658,0.0001,15,4000,node-k98s-032
173517180.0,19.922798,0.25038716,0.21875,0.0006905339797221658,1e-05,15,4000,node-k98m-008
173582300.0,4.7306237,0.14923811,0.140625,0.0005980199656453665,1e-06,15,4000,node-k98k-029
173600560.0,3.458337,0.21158747,0.203125,0.0005980199656453665,1e-07,15,4000,node-k98a-024
173718610.0,3.2386827,0.11090385,0.09375,0.0006905339797221658,1e-08,15,4000,node-k98d-015
173747800.0,3.2011054,0.09563261,0.078125,0.0005980199656453665,1e-09,15,4000,node-k98e-023
4210094.0,19519.133,375.48016,111.07031,0.0013810680417624171,0.1,15,1000,node-k98q-025
4567919.0,3.9363832,0.12537163,0.071899414,0.0003452669847162036,1e-05,15,1000,node-k98t-014
4203730.0,2667.2046,50.45788,15.12561,0.0003452669847162036,0.01,15,1000,node-k98o-024
4278535.0,359.59534,7.289367,2.859375,0.0003452669847162036,0.001,15,1000,node-k98n-035
4473809.0,24.497015,0.5027299,0.18286133,0.0003452669847162036,0.0001,15,1000,node-k98r-024
4675263.0,1.5162272,0.08699618,0.046875,0.0005980199656453665,1e-06,15,1000,node-k98r-028
4781306.0,1.1679479,0.073168196,0.046875,0.0004882812548506386,1e-07,15,1000,node-k98j-024
4936756.0,1.1542672,0.06301858,0.037597656,0.0,1e-08,15,1000,node-k98r-019
5020822.0,1.2050128,0.07109677,0.046875,0.0005980199656453665,1e-09,15,1000,node-k98r-015
5134314.0,1.2436708,0.08550449,0.046875,0.0004882812548506386,1e-10,15,1000,node-k98r-017
5193352.0,1.2083766,0.07954254,0.0435791,0.0003452669847162036,1e-11,15,1000,node-k98c-035
5224605.0,1.2587136,0.12672631,0.109375,0.0005980199656453665,1e-12,15,1000,node-k98p-031
5281432.0,1.2919661,0.14084664,0.125,0.0004882812548506386,1e-13,15,1000,node-k98b-031
5301929.0,1.2978717,0.11424262,0.09375,0.0004882812548506386,1e-14,15,1000,node-k98g-016
5315433.0,1.1314347,0.06001206,0.032714844,0.0005980199656453665,1e-16,15,1000,node-k98q-035
5341596.0,1.1616501,0.082386784,0.0625,0.0003452669847162036,1e-15,15,1000,node-k98n-025
173885630.0,3.2490523,0.13400245,0.125,0.0006905339797221658,1e-10,15,4000,node-k98d-007
174311040.0,3.315823,0.106248975,0.09375,0.0006905339797221658,1e-11,15,4000,node-k98e-028
32476822.0,38876.38,380.65958,112.36914,0.0013372133747892698,0.1,15,2000,node-k98t-020
32664390.0,5386.604,51.08942,15.33252,0.0004882812548506386,0.01,15,2000,node-k98a-018
32712356.0,703.8276,7.383107,2.953125,0.0004882812548506386,0.001,15,2000,node-k98o-030
174467920.0,3.3641357,0.16533285,0.15625,0.0007720404635508789,1e-12,15,4000,node-k98p-024
33170186.0,46.839535,0.5107779,0.18164062,0.0003452669847162036,0.0001,15,2000,node-k98b-035
33960110.0,2.2859898,0.08136184,0.0625,0.0004882812548506386,1e-06,15,2000,node-k98f-016
33546044.0,6.9585867,0.12439996,0.0625,0.0004882812548506386,1e-05,15,2000,node-k98f-022
34313092.0,1.8813423,0.11520634,0.09375,0.0004882812548506386,1e-07,15,2000,node-k98f-032
35439336.0,1.8456508,0.10446002,0.078125,0.0,1e-09,15,2000,node-k98j-027
34913932.0,1.7697551,0.07501724,0.0625,0.0004882812548506386,1e-08,15,2000,node-k98t-034
174500880.0,3.2103093,0.06174599,0.033203125,0.0005980199656453665,1e-13,15,4000,node-k98p-021
35797788.0,1.7982016,0.07743759,0.046875,0.0003452669847162036,1e-10,15,2000,node-k98j-019
36033850.0,1.7885456,0.09159031,0.078125,0.0005980199656453665,1e-11,15,2000,node-k98c-032
36159760.0,1.7825142,0.06169891,0.03125,0.0003452669847162036,1e-12,15,2000,node-k98f-021
36465988.0,1.7732633,0.08795767,0.078125,0.0004882812548506386,1e-14,15,2000,node-k98c-023
36334804.0,1.8871895,0.08511763,0.046875,0.0,1e-13,15,2000,node-k98g-021
36565960.0,1.7028707,0.057456594,0.03125,0.0004882812548506386,1e-15,15,2000,node-k98c-019
36656004.0,1.6878395,0.047001526,0.016601562,0.0003452669847162036,1e-16,15,2000,node-k98b-021
